User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0xb8defd92a3e6e1c930b85a02af1024f5defe11b1,8,0.00,114829.74,4 | 2 | 1,7 | 5 | 2,2023-09-11,2023-10-31,false
0x1234e2efbcb9dbc0a1f61e16440d1131735efb7f,2,0.00,10250.88,2 | 1 | 1,2 | 2 | 1,2023-10-27,2023-10-31,false
0x07fbf09996768e2e25ba051b415e8ec8d8e7cd54,9,0.00,789.64,5 | 4 | 6,2 | 2 | 2,2023-05-28,2023-06-04,false
0x221e25ad7373fbaf33c7078b8666816586222a09,0,0.00,0.00,0 | 0 | 0,0 | 0 | 0,,,false
0x221e25ad7373fbaf33c7078b8666816586222a09,0,0.00,0.00,0 | 0 | 0,0 | 0 | 0,,,false
0xc730ff9e249d257c689a858204bd5d6c9a47973a,0,0.00,0.00,0 | 0 | 0,0 | 0 | 0,,,false
0xa3bdfeaac534816203cf9b693df1e156977d4b46,0,0.00,0.00,0 | 0 | 0,0 | 0 | 0,,,false
0xa411977dd24f1547065c6630e468a43275cb4d7f,0,0.00,0.00,0 | 0 | 0,0 | 0 | 0,,,false
0x8831c15b344354bf2e36e01d9bc9f39701cdb87d,0,0.00,0.00,0 | 0 | 0,0 | 0 | 0,,,false
0xa0d0ee5f6a5509fc64bb5a00f425431594d4bba2,2,0.00,0.00,1 | 1 | 1,2 | 2 | 2,2023-07-15,2023-10-19,false
0x2ab60c81a86a0a405ea939461bfec27c04fd122c,35,0.00,1827.18,5 | 11 | 7,23 | 12 | 6,2023-05-22,2023-11-17,false
0x756ae42e291ec46eef4a35544fac4edc7ca9ad7c,29,0.00,354.60,5 | 9 | 7,18 | 9 | 5,2023-05-26,2023-10-05,false
0xd42d5f73b008e4e121c8691691927751e64ced3f,30,0.00,1905.45,5 | 10 | 7,17 | 11 | 6,2023-05-23,2023-11-18,false
0xefb347ed184e837d8ca6ae56c2bd8b3a6a2de207,28,0.00,314.73,5 | 9 | 7,18 | 9 | 5,2023-05-30,2023-09-01,false
0x73706fd05be36777782110a42984ff889ad6879f,41,0.00,2024.72,5 | 10 | 7,21 | 11 | 6,2023-05-19,2023-11-17,false
0x8e0e7f976fbe64653aa5115de344ae9d4f5e01f2,29,0.00,369.15,5 | 9 | 7,19 | 11 | 5,2023-05-26,2023-09-01,false
